domain,llm,pearsonr.statistic,pearsonr.pvalue,spearmanr.statistic,spearmanr.pvalue,kendalltau.statistic,kendalltau.pvalue
books,gemini,-0.07728334034228287,1.404531861318521e-15,-0.08999174390179086,1.3642348755523967e-20,-0.07151641627440554,1.711700576289862e-20
books,gpt-3-5,-0.016484747066854155,0.18081417577832742,-0.03068963725019679,0.012708299183857309,-0.024089252035343692,0.013030525278644399
books,gpt-4o-mini,-0.016296960778847694,0.10095478268348568,-0.06047612412355042,1.1156416889199382e-09,-0.04610047878067601,1.133109296413659e-09
books,llama-3-2,0.029014175432355314,0.0023668331756409055,0.03596827098882891,0.0001639783483198872,0.028759212834580168,0.0001522986722747348
games,gemini,-0.08632502982961274,2.6772142649435397e-55,-0.0895007526242339,2.534572580835834e-59,-0.06609174065241652,1.42730609153369e-59
games,gpt-3-5,0.03185793398500362,2.3337326341062406e-06,0.03468901285927055,2.7179813131762955e-07,0.026072946555590712,2.3787078649397534e-07
games,gpt-4o-mini,-0.02069580932857594,0.0002952152497706344,-0.01569444885096873,0.006057425747306392,-0.01144030323039383,0.005842245787811206
games,llama-3-2,0.01749094943997113,0.0013203734304199413,0.00109328118255429,0.8409158482691332,0.000919375137585658,0.823505907286131
movies,gemini,-0.04738374135079325,1.6510415881387923e-23,-0.04065438339369578,1.0193467040187546e-17,-0.029861176148788155,5.599458771679998e-18
movies,gpt-3-5,0.03845165085055058,1.6304545141778728e-12,0.031209487603227327,9.929487462914647e-09,0.02243123251628062,9.960152775364108e-09
movies,gpt-4o-mini,-0.005331998568957392,0.272972630742792,-0.019255044120963863,7.522738510176226e-05,-0.01332889053352143,7.147945577788378e-05
movies,llama-3-2,0.013422996617696224,0.0177151995047068,0.015339160634444786,0.006726400263812107,0.010704249180937648,0.00661136879833905
