domain,llm,mmr,solved.1,solved.2,solved.3,solved.4,solved.5,solved.6,solved.7,solved.8,solved.9,solved.10,solved.11,solved.12,solved.13,solved.14,solved.15,solved.16,solved.17,solved.18,solved.19,solved.20,solved.1.fraction,solved.2.fraction,solved.3.fraction,solved.4.fraction,solved.5.fraction,solved.6.fraction,solved.7.fraction,solved.8.fraction,solved.9.fraction,solved.10.fraction,solved.11.fraction,solved.12.fraction,solved.13.fraction,solved.14.fraction,solved.15.fraction,solved.16.fraction,solved.17.fraction,solved.18.fraction,solved.19.fraction,solved.20.fraction
books,gemini,0.059107175330579596,20,36,45,50,53,54,55,55,55,56,56,56,57,57,57,57,57,57,57,57,0.03546099290780142,0.06382978723404255,0.0797872340425532,0.08865248226950355,0.09397163120567376,0.09574468085106383,0.0975177304964539,0.0975177304964539,0.0975177304964539,0.09929078014184398,0.09929078014184398,0.09929078014184398,0.10106382978723404,0.10106382978723404,0.10106382978723404,0.10106382978723404,0.10106382978723404,0.10106382978723404,0.10106382978723404,0.10106382978723404
books,gpt-3-5,0.1351483589095571,61,74,86,95,101,103,104,105,106,107,109,110,111,111,112,112,112,112,113,113,0.10815602836879433,0.13120567375886524,0.1524822695035461,0.16843971631205673,0.17907801418439717,0.18262411347517732,0.18439716312056736,0.18617021276595744,0.1879432624113475,0.18971631205673758,0.19326241134751773,0.1950354609929078,0.19680851063829788,0.19680851063829788,0.19858156028368795,0.19858156028368795,0.19858156028368795,0.19858156028368795,0.20035460992907803,0.20035460992907803
books,gpt-4o-mini,0.07346535613612884,31,43,49,52,54,54,56,56,57,59,63,64,65,65,65,65,65,67,68,68,0.0549645390070922,0.07624113475177305,0.08687943262411348,0.09219858156028368,0.09574468085106383,0.09574468085106383,0.09929078014184398,0.09929078014184398,0.10106382978723404,0.10460992907801418,0.11170212765957446,0.11347517730496454,0.11524822695035461,0.11524822695035461,0.11524822695035461,0.11524822695035461,0.11524822695035461,0.11879432624113476,0.12056737588652482,0.12056737588652482
books,llama-3-2,0.03163281753707285,12,19,24,25,25,27,27,27,27,27,28,28,28,28,28,28,28,28,28,28,0.02127659574468085,0.03368794326241135,0.0425531914893617,0.044326241134751775,0.044326241134751775,0.047872340425531915,0.047872340425531915,0.047872340425531915,0.047872340425531915,0.047872340425531915,0.04964539007092199,0.04964539007092199,0.04964539007092199,0.04964539007092199,0.04964539007092199,0.04964539007092199,0.04964539007092199,0.04964539007092199,0.04964539007092199,0.04964539007092199
games,gemini,0.037591065838121364,41,63,75,85,93,96,104,107,110,110,111,113,115,116,117,117,118,120,123,124,0.02431791221826809,0.037366548042704624,0.04448398576512456,0.05041518386714116,0.05516014234875445,0.05693950177935943,0.06168446026097272,0.0634638196915777,0.06524317912218268,0.06524317912218268,0.06583629893238434,0.06702253855278767,0.06820877817319099,0.06880189798339265,0.0693950177935943,0.0693950177935943,0.06998813760379596,0.0711743772241993,0.07295373665480427,0.07354685646500593
games,gpt-3-5,0.11119024656679041,139,188,210,241,257,268,277,282,288,289,290,292,294,298,299,300,304,306,306,306,0.08244365361803084,0.11150652431791222,0.12455516014234876,0.14294187425860025,0.15243179122182682,0.15895610913404506,0.16429418742586002,0.16725978647686832,0.1708185053380783,0.17141162514827996,0.17200474495848161,0.17319098457888493,0.17437722419928825,0.1767497034400949,0.17734282325029657,0.17793594306049823,0.18030842230130487,0.18149466192170818,0.18149466192170818,0.18149466192170818
games,gpt-4o-mini,0.06496369110622717,76,110,124,138,143,153,164,172,181,183,187,191,194,195,201,205,205,209,210,210,0.045077105575326216,0.06524317912218268,0.07354685646500593,0.08185053380782918,0.08481613285883749,0.09074733096085409,0.09727164887307237,0.10201660735468565,0.1073546856465006,0.10854092526690391,0.11091340450771056,0.1132858837485172,0.11506524317912219,0.11565836298932385,0.11921708185053381,0.12158956109134045,0.12158956109134045,0.1239620403321471,0.12455516014234876,0.12455516014234876
games,llama-3-2,0.007790410459449606,9,9,13,14,16,16,18,22,23,24,27,29,29,31,35,39,39,40,40,40,0.005338078291814947,0.005338078291814947,0.00771055753262159,0.00830367734282325,0.009489916963226572,0.009489916963226572,0.010676156583629894,0.013048635824436536,0.013641755634638196,0.014234875444839857,0.01601423487544484,0.01720047449584816,0.01720047449584816,0.018386714116251483,0.020759193357058125,0.023131672597864767,0.023131672597864767,0.02372479240806643,0.02372479240806643,0.02372479240806643
movies,gemini,0.08914096556732558,162,205,238,259,271,279,284,288,294,296,301,306,311,317,319,319,325,325,326,326,0.0694980694980695,0.08794508794508794,0.1021021021021021,0.1111111111111111,0.11625911625911627,0.11969111969111969,0.12183612183612183,0.12355212355212356,0.12612612612612611,0.12698412698412698,0.12912912912912913,0.13127413127413126,0.13341913341913342,0.135993135993136,0.13685113685113684,0.13685113685113684,0.13942513942513943,0.13942513942513943,0.13985413985413986,0.13985413985413986
movies,gpt-3-5,0.17204081428244777,336,389,439,466,490,512,521,531,538,545,548,558,562,567,569,571,575,575,581,582,0.14414414414414414,0.1668811668811669,0.18833118833118834,0.19991419991419992,0.21021021021021022,0.21964821964821965,0.2235092235092235,0.2277992277992278,0.2308022308022308,0.2338052338052338,0.2350922350922351,0.23938223938223938,0.2410982410982411,0.24324324324324326,0.2441012441012441,0.24495924495924495,0.24667524667524668,0.24667524667524668,0.24924924924924924,0.24967824967824967
movies,gpt-4o-mini,0.11845119889495535,217,271,310,329,352,362,373,383,393,403,412,418,426,432,436,440,443,443,445,445,0.09309309309309309,0.11625911625911627,0.132990132990133,0.14114114114114115,0.15100815100815101,0.1552981552981553,0.16001716001716002,0.1643071643071643,0.16859716859716858,0.1728871728871729,0.17674817674817675,0.1793221793221793,0.18275418275418276,0.18532818532818532,0.18704418704418704,0.18876018876018877,0.19004719004719003,0.19004719004719003,0.1909051909051909,0.1909051909051909
movies,llama-3-2,0.02923297314790756,50,61,70,78,89,94,102,110,112,114,120,122,123,129,132,134,137,140,143,143,0.02145002145002145,0.02616902616902617,0.03003003003003003,0.03346203346203346,0.03818103818103818,0.04032604032604033,0.043758043758043756,0.04719004719004719,0.04804804804804805,0.0489060489060489,0.05148005148005148,0.05233805233805234,0.05276705276705277,0.055341055341055344,0.05662805662805663,0.057486057486057486,0.05877305877305877,0.06006006006006006,0.061347061347061346,0.061347061347061346
